Nombre,Precio,Descripcion
Laptop Dell XPS 13,1299,Laptop ultradelgada con procesador i7
Mouse Logitech MX Master,99,Mouse inalambrico profesional
Teclado Mecanico Razer,150,Teclado RGB para gaming
Monitor LG 27 4K,399,Monitor 4K de 27 pulgadas
Auricula Sony WH-1000XM5,399,Auriculares con cancelacion de ruido
Camara Web Logitech C920,80,Webcam Full HD para streaming
Mochila Lenovo ThinkPad,79,Mochila para laptop profesional
Cable USB-C 2 metros,25,Cable USB-C alta velocidad
Hub USB 3.0 Anker,35,Hub 7 puertos USB 3.0
  Soporte Laptop Aluminio,45,Soporte ajustable para laptop
  Pantalla Tactil Huion,599,Tablet grafica digitalizadora
  MicroSD 128GB Samsung,35,Tarjeta memoria microSD clase 10
  Bateria Externa 20000mAh,45,Power Bank 20000mAh rapido
  Cooler Laptop Baseus,55,Ventilador enfriamiento para laptop
  Funda Laptop Neopreno,35,Funda protectora 13 pulgadas
  Conector HDMI Premium,30,Cable HDMI 2.1 4K 60Hz
  Luz LED RGB Conexion USB,60,Lampara LED inteligente USB
  Cable Extension Electrica 5m,40,Extension triple toma tierra
  Escritorio Ajustable Altura,299,Escritorio electrico ajustable
  Silla Gamer Ergonomica,249,Silla gaming con soporte lumbar
